Time,X1,X2,X3,X4,X5,SpeedDoppler1,SpeedDoppler2,SpeedDoppler3,SpeedDoppler4,SpeedDoppler5,Accel1,Accel2,Accel3,Accel4,Accel5,Spacing2,Spacing3,Spacing4,Spacing5
757.1,18662.805811099297,18634.428771657345,18605.238255377695,18576.003527077915,18541.748854117912,24.303667903355667,24.364380345552323,24.362469778204897,25.060977271269444,26.929652532348975,0.08474196980820636,-0.038411048067992226,-0.16982868099944426,-0.28288654069132946,-0.21862410498961538,23.18103944195164,24.484516279650183,24.277728299779817,29.297672960003517
757.2,18665.23660159948,18636.86501763666,18607.67365321211,18578.50821037234,18544.44072625062,24.312142100336487,24.360539240745524,24.345486910104952,25.03268861720031,26.907790121850013,0.08642177475138624,-0.03465954044699515,-0.16922174790526157,-0.288295493149171,-0.22825154971826578,23.175583962820298,24.485364424550557,24.208442839770548,29.110484121718734
757.3,18667.668247918387,18639.300898263034,18610.107355794382,18581.010037756594,18547.130364005057,24.320784277811626,24.357073286700825,24.328564735314426,25.003859067885394,26.884964966878186,0.08760420303367766,-0.03101814977945594,-0.16833981587488722,-0.29390371668092996,-0.23811064337458276,23.171349655352884,24.487542468652595,24.14031803778777,28.922673751536756
757.4,18670.100764367184,18641.736450500957,18612.539370568833,18583.5089541448,18549.817669948527,24.329544698114994,24.35397147172288,24.311730753726938,24.9744686962173,26.861153902540728,0.088237171769876,-0.027577333858808117,-0.166986350742917,-0.2993585029395618,-0.2484795788716454,23.16831386622644,24.491079932124325,24.07341642403332,28.734284196273045
757.5,18672.534160022853,18644.17170976146,18614.96970871245,18586.004904221907,18552.502542940885,24.33836841529198,24.351213738336998,24.295032118652646,24.944532845923344,26.836305944653564,0.08828767007852178,-0.024362218683471326,-0.16515380515130573,-0.30475534721798425,-0.2591562192304764,23.166450261392953,24.496001049008687,24.007804490544338,28.545361281021876
757.6,18674.968438302734,18646.6067093242,18617.39838615529,18588.49783372976,18555.184877754255,24.347197182299833,24.34877751646865,24.278516738137515,24.914057311201546,26.810390322730516,0.08776641558462472,-0.0213300187609633,-0.16302261277889585,-0.31017161403578797,-0.26985929469990566,23.165728978532485,24.502323168910284,23.943552425529894,28.355955975507065
757.7,18677.40359685304,18649.041480425756,18619.82542271604,18590.98768860281,18557.864567490054,24.355973823858296,24.346644514592555,24.262214476859626,24.883040149797967,26.783404393260525,0.08665057560161671,-0.018511638996976387,-0.160637442088003,-0.3155828842664832,-0.28066511153042484,23.166116427284493,24.510057709716552,23.88073411322909,28.166121112756052
757.8,18679.839627488305,18651.47605231902,18622.250840976514,18593.47441470337,18560.54150460382,24.364638881418458,24.344793350692857,24.246150732650825,24.85148186137132,26.755337882107483,0.08487106680501455,-0.015943282732742148,-0.1579075337118141,-0.3208455663578036,-0.29171132668366795,23.16757516928547,24.519211342505645,23.819426273143442,27.97591009954919
757.9,18682.27651573178,18653.910451937674,18624.67466651211,18595.957958661675,18563.2155798354,24.37312598809896,24.343199022419583,24.230359979279644,24.81939730473554,26.726166749439116,0.08246137448789881,-0.013591873617677663,-0.1547850529690109,-0.3257534840027887,-0.3031238731556485,23.170063794106596,24.529785425564246,23.75970785043534,27.785378826274943
758.0,18684.714240637462,18656.34470388055,18627.09692858477,18598.438269624727,18565.886680890977,24.38137212554775,24.341839835057815,24.214881473982743,24.78682195633526,26.69585436212355,0.07942137203123423,-0.011402803028026653,-0.15133308315633087,-0.3303776525055113,-0.3146888232392442,23.17353675691257,24.54177529577841,23.701658960044703,27.594588733749667
