X,Y
2662.5,-0.010534986
2667.5,-0.010529291
2672.5,-0.010528914
2677.5,-0.010548347
2682.5,-0.010583327
2687.5,-0.010610432
2692.5,-0.010590464
2697.5,-0.010480908
2702.5,-0.010236854
2707.5,-0.009826013
2712.5,-0.00925002
2717.5,-0.008545337
2722.5,-0.007757147
2727.5,-0.006926938
2732.5,-0.006091209
2737.5,-0.005275702
2742.5,-0.004488924
2747.5,-0.003721661
2752.5,-0.002961618
2757.5,-0.00220552
2762.5,-0.00146294
2767.5,-0.000742552
2772.5,-3.80E-05
2777.5,0.000661569
2782.5,0.001365141
2787.5,0.002084822
2792.5,0.002828942
2797.5,0.003590485
2802.5,0.004349598
2807.5,0.005079892
2812.5,0.005766689
2817.5,0.006419865
2822.5,0.007058192
2827.5,0.007701485
2832.5,0.008369897
2837.5,0.009077997
2842.5,0.009820165
2847.5,0.010570578
2852.5,0.011297387
2857.5,0.011984104
2862.5,0.012636627
2867.5,0.013268049
2872.5,0.01389849
2877.5,0.014558329
2882.5,0.015273984
2887.5,0.016049706
2892.5,0.016868335
2897.5,0.017704555
2902.5,0.018542848
2907.5,0.019376858
2912.5,0.020199566
2917.5,0.021007427
2922.5,0.02180556
2927.5,0.022596982
2932.5,0.023371247
2937.5,0.024116364
2942.5,0.024822793
2947.5,0.025487738
2952.5,0.026100406
2957.5,0.026628028
2962.5,0.027027947
2967.5,0.027253277
2972.5,0.027259575
2977.5,0.027021915
2982.5,0.026548363
2987.5,0.025884189
2992.5,0.025101651
2997.5,0.024273101
3002.5,0.023443728
3007.5,0.022642455
3012.5,0.021868479
3017.5,0.021095707
3022.5,0.020305637
3027.5,0.019492333
3032.5,0.018664394
3037.5,0.017838683
3042.5,0.017029965
3047.5,0.016241485
3052.5,0.015479219
3057.5,0.014733342
3062.5,0.013989138
3067.5,0.013248032
3072.5,0.012515436
3077.5,0.01179542
3082.5,0.011081892
3087.5,0.010362829
3092.5,0.009626486
3097.5,0.008872336
3102.5,0.008097114
3107.5,0.00730887
3112.5,0.006528347
3117.5,0.00576825
3122.5,0.005042707
3127.5,0.004357793
3132.5,0.003716612
3137.5,0.003129854
3142.5,0.002615022
3147.5,0.002188366
3152.5,0.001859198
3157.5,0.001630081
3162.5,0.001480199
3167.5,0.001387299
3172.5,0.001319583
3177.5,0.001241942
3182.5,0.001128222
3187.5,0.000958189
3192.5,0.000729093
3197.5,0.000443147
3202.5,0.000109457
3207.5,-0.000261906
3212.5,-0.000647176
3217.5,-0.001028627
3222.5,-0.001393342
3227.5,-0.001732275
3232.5,-0.002050771
3237.5,-0.002350153
3242.5,-0.002631233
3247.5,-0.002894872
3252.5,-0.003137618
3257.5,-0.003345833
3262.5,-0.003507985
3267.5,-0.003618463
3272.5,-0.003676665
3277.5,-0.003705526
3282.5,-0.003740951
3287.5,-0.003813668
3292.5,-0.003942485
3297.5,-0.004128202
3302.5,-0.004356765
3307.5,-0.00459382
3312.5,-0.004800988
3317.5,-0.004949817
3322.5,-0.005043774
3327.5,-0.005115935
3332.5,-0.005204305
3337.5,-0.005334313
3342.5,-0.005522817
3347.5,-0.005775796
3352.5,-0.006069435
3357.5,-0.006366089
3362.5,-0.006635033
3367.5,-0.006863787
3372.5,-0.007051902
3377.5,-0.007201059
3382.5,-0.007308685
3387.5,-0.007381866
3392.5,-0.007435197
3397.5,-0.007468748
3402.5,-0.00747966
3407.5,-0.007480001
3412.5,-0.007494296
3417.5,-0.007552286
3422.5,-0.007674808
3427.5,-0.007878538
3432.5,-0.008172087
3437.5,-0.008558455
3442.5,-0.009007708
3447.5,-0.009467561
3452.5,-0.009893095
3457.5,-0.010247162
3462.5,-0.01050669
3467.5,-0.010651307
3472.5,-0.010683475
3477.5,-0.010633186
3482.5,-0.010545259
3487.5,-0.010455312
3492.5,-0.010374883
3497.5,-0.010318228
3502.5,-0.010293213
3507.5,-0.010290657
3512.5,-0.010278978
3517.5,-0.010236004
3522.5,-0.010176326
3527.5,-0.010114046
3532.5,-0.010054542
3537.5,-0.009990461
3542.5,-0.009918315
3547.5,-0.009849554
3552.5,-0.009784226
3557.5,-0.009710448
3562.5,-0.009630913
3567.5,-0.009578667
3572.5,-0.00956735
3577.5,-0.009583242
3582.5,-0.009608546
3587.5,-0.009619883
3592.5,-0.009610392
3597.5,-0.009576956
3602.5,-0.009509247
3607.5,-0.009421228
3612.5,-0.009345709
3617.5,-0.009298858
3622.5,-0.009278635
3627.5,-0.009282141
3632.5,-0.009295226
3637.5,-0.009305301
3642.5,-0.009300167
3647.5,-0.009262834
3652.5,-0.009201883
3657.5,-0.009135839
3662.5,-0.009073844
3667.5,-0.009024352
3672.5,-0.008997241
3677.5,-0.008989353
3682.5,-0.008990706
3687.5,-0.008985689
3692.5,-0.008959383
3697.5,-0.008915415
3702.5,-0.008854126
3707.5,-0.0087755
3712.5,-0.008695729
3717.5,-0.00863397
3722.5,-0.008600161
3727.5,-0.008593698
3732.5,-0.008602868
3737.5,-0.008617608
3742.5,-0.008632788
3747.5,-0.008629426
3752.5,-0.008598753
3757.5,-0.008552574
3762.5,-0.008502702
3767.5,-0.008453119
3772.5,-0.008405843
3777.5,-0.008345792
3782.5,-0.008274013
3787.5,-0.008195748
3792.5,-0.008101815
3797.5,-0.008002357
3802.5,-0.007917933
3807.5,-0.007862949
3812.5,-0.007834709
3817.5,-0.007828109
3822.5,-0.007823845
3827.5,-0.00780861
3832.5,-0.007781226
3837.5,-0.007730031
3842.5,-0.007663951
3847.5,-0.007600481
3852.5,-0.007552168
3857.5,-0.007510796
3862.5,-0.007459987
3867.5,-0.007380964
3872.5,-0.007235429
3877.5,-0.006999512
3882.5,-0.006660702
3887.5,-0.006224065
3892.5,-0.005714216
3897.5,-0.005173722
3902.5,-0.004637986
3907.5,-0.004130268
3912.5,-0.003676276
3917.5,-0.003266697
3922.5,-0.002882776
3927.5,-0.002511252
3932.5,-0.002131856
3937.5,-0.001731081
3942.5,-0.001318817
3947.5,-0.000906881
3952.5,-0.000505326
3957.5,-0.000132798
3962.5,0.000203007
3967.5,0.000508333
3972.5,0.000798298
3977.5,0.001095742
3982.5,0.001417617
3987.5,0.001770852
3992.5,0.002157885
3997.5,0.002574576
4002.5,0.003008184
4007.5,0.003442291
4012.5,0.003873789
4017.5,0.004318515
4022.5,0.004790324
4027.5,0.00528289
4032.5,0.005786371
4037.5,0.006294675
4042.5,0.006793489
4047.5,0.007262135
4052.5,0.00768208
4057.5,0.008043406
4062.5,0.008350027
4067.5,0.008601718
4072.5,0.008773618
